============================================================
  PARCL INTELLIGENCE — Batch Permit Geocoder
============================================================
  Loaded 13,765 cached geocodes
  Total permits in DB:  125,795
  Scope:                125,795 (all towns)
  Geocode cache:        13,765 entries

  Resuming from offset 20
  Phase 1: Scanning permits and extracting addresses...
    Scanned 10,000 permits, found 6,688 unique addresses...
    Scanned 20,000 permits, found 9,672 unique addresses...
    Scanned 30,000 permits, found 11,538 unique addresses...
    Scanned 40,000 permits, found 13,736 unique addresses...
    Scanned 50,000 permits, found 15,423 unique addresses...
    Scanned 60,000 permits, found 16,677 unique addresses...
    Scanned 70,000 permits, found 21,481 unique addresses...
    Scanned 80,000 permits, found 24,104 unique addresses...
    Scanned 90,000 permits, found 25,785 unique addresses...
    Scanned 100,000 permits, found 26,986 unique addresses...
    Scanned 110,000 permits, found 28,748 unique addresses...
    Scanned 120,000 permits, found 30,149 unique addresses...

  Found 30,797 unique addresses across 125,763 permits
  Permits without extractable address: 32

  Phase 2: Geocoding 30,797 unique addresses...
  (Cached addresses are instant, new ones take ~1 sec each)
    Geocoded 4,900/30,797 (15.9%) | 0.5 addr/sec | API: 4883 | Cache: 17 | Success: 3,221
    Geocoded 5,000/30,797 (16.2%) | 0.5 addr/sec | API: 4983 | Cache: 17 | Success: 3,275
    Geocoded 5,100/30,797 (16.6%) | 0.5 addr/sec | API: 5083 | Cache: 17 | Success: 3,330
    Geocoded 5,200/30,797 (16.9%) | 0.5 addr/sec | API: 5183 | Cache: 17 | Success: 3,388
    Geocoded 5,300/30,797 (17.2%) | 0.5 addr/sec | API: 5283 | Cache: 17 | Success: 3,452
    Geocoded 5,400/30,797 (17.5%) | 0.5 addr/sec | API: 5383 | Cache: 17 | Success: 3,528
    Geocoded 5,500/30,797 (17.9%) | 0.5 addr/sec | API: 5483 | Cache: 17 | Success: 3,590
    Geocoded 5,600/30,797 (18.2%) | 0.5 addr/sec | API: 5583 | Cache: 17 | Success: 3,650
    Geocoded 5,700/30,797 (18.5%) | 0.5 addr/sec | API: 5683 | Cache: 17 | Success: 3,707
    Geocoded 5,800/30,797 (18.8%) | 0.5 addr/sec | API: 5783 | Cache: 17 | Success: 3,769
    Geocoded 5,900/30,797 (19.2%) | 0.5 addr/sec | API: 5883 | Cache: 17 | Success: 3,837
    Geocoded 6,000/30,797 (19.5%) | 0.5 addr/sec | API: 5983 | Cache: 17 | Success: 3,902
    Geocoded 6,100/30,797 (19.8%) | 0.5 addr/sec | API: 6083 | Cache: 17 | Success: 3,964
    Geocoded 6,200/30,797 (20.1%) | 0.5 addr/sec | API: 6183 | Cache: 17 | Success: 4,028
    Geocoded 6,300/30,797 (20.5%) | 0.5 addr/sec | API: 6283 | Cache: 17 | Success: 4,082
    Geocoded 6,400/30,797 (20.8%) | 0.5 addr/sec | API: 6383 | Cache: 17 | Success: 4,145
    Geocoded 6,500/30,797 (21.1%) | 0.5 addr/sec | API: 6483 | Cache: 17 | Success: 4,203
    Geocoded 6,600/30,797 (21.4%) | 0.5 addr/sec | API: 6583 | Cache: 17 | Success: 4,262
    Geocoded 6,700/30,797 (21.8%) | 0.5 addr/sec | API: 6683 | Cache: 17 | Success: 4,322
    Geocoded 6,800/30,797 (22.1%) | 0.5 addr/sec | API: 6783 | Cache: 17 | Success: 4,384
    Geocoded 6,900/30,797 (22.4%) | 0.5 addr/sec | API: 6883 | Cache: 17 | Success: 4,446
